check folder at path: /Volumes/A_2TB_SSD/mc_ev3_dst/mc_ev3_src
verification (xxh128) of file DCIM/A001/A002_C4433_004433.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4435_004435.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4437_004437.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4439_004439.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4441_004441.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4443_004443.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4445_004445.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4447_004447.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4449_004449.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4451_004451.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4453_004453.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4455_004455.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4457_004457.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4459_004459.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4461_004461.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4463_004463.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4465_004465.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4467_004467.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4469_004469.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4471_004471.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4473_004473.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4475_004475.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4477_004477.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4479_004479.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4481_004481.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4483_004483.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4485_004485.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4487_004487.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4489_004489.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4491_004491.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4493_004493.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4495_004495.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4497_004497.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4499_004499.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4501_004501.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4503_004503.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4505_004505.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4507_004507.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4509_004509.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4511_004511.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4513_004513.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4515_004515.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4517_004517.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4519_004519.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4521_004521.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4523_004523.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4525_004525.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4527_004527.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4529_004529.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4531_004531.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4533_004533.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4535_004535.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4537_004537.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4539_004539.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4541_004541.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4543_004543.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4545_004545.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4547_004547.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4549_004549.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4551_004551.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4553_004553.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4555_004555.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4557_004557.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4559_004559.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4561_004561.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4563_004563.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4565_004565.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4567_004567.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4569_004569.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4571_004571.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4573_004573.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4575_004575.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4577_004577.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4579_004579.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4581_004581.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4583_004583.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4585_004585.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4587_004587.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4589_004589.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4591_004591.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4593_004593.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4595_004595.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4597_004597.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4599_004599.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4601_004601.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4603_004603.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4605_004605.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4607_004607.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4609_004609.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4611_004611.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4613_004613.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4615_004615.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4617_004617.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4619_004619.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4621_004621.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4623_004623.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4625_004625.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4627_004627.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4629_004629.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4631_004631.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4633_004633.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4635_004635.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4637_004637.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4639_004639.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4641_004641.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4643_004643.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4645_004645.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4647_004647.braw: OK
